A̱o,Trimestre,Total de accesos pospago,Total de accesos prepago,Total de accesos operativos,Periodo
2013,1,7761349,57147608,64908957,Ene-Mar 2013
2013,2,7769110,58004822,65773932,Abr-Jun 2013
2013,3,8002183,59048909,67051092,Jul-Sept 2013
2013,4,8674516,58894516,67569032,Oct-Dic 2013
2014,1,8224482,54725089,62949571,Ene-Mar 2013
2014,2,7953775,53009865,60963640,Abr-Jun 2014
2014,3,8214424,53102043,61316467,Jul-Sept 2014
2014,4,8027505,53093330,61120835,Oct-Dic 2014
2015,1,7747230,52474633,60221863,Ene-Mar 2015
2015,2,7633527,52241939,59875466,Abr-Jun 2015
2015,3,7600799,53131712,60732511,Jul-Sept 2015
2015,4,7594526,54247485,61842011,Oct-Dic 2015
2016,1,7483126,54003635,61486761,Ene-Mar 2016
2016,2,7565115,54557406,62122521,Abr-Jun 2016
2016,3,7520789,56058550,63579339,Jul-Sept 2016
2016,4,7637635,56082170,63719805,Oct-Dic 2016
2017,1,7502772,55523350,63026122,Ene-Mar 2017
2017,2,7415230,55483528,62898758,Abr-Jun 2017
2017,3,7272585,54958224,62230809,Jul-Sept 2017
2017,4,7108228,54789151,61897379,Oct-Dic 2017
2018,1,7101698,53470098,60571796,Ene-Mar 2018
2018,2,6637444,52828949,59466393,Abr-Jun 2018
2018,3,6551391,52289745,58841136,Jul-Sept 2018
2018,4,6488017,52110024,58598041,Oct-Dic 2018
2019,1,6645995,51960447,58606442,Ene-Mar 2019
2019,2,5924037,51672054,57596091,Abr-Jun 2019
2019,3,5974898,50300828,56275726,Jul-Sept 2019
2019,4,5797378,50133536,55930914,Oct-Dic 2019
2020,1,5743132,49869048,55612810,Ene-Mar 2020
2020,2,5659667,49391056,55050723,Abr-Jun 2020
2020,3,5559724,49060162,54619886,Jul-Sept 2020
2020,4,5556299,49207602,54763900,Oct-Dic 2020
2021,1,6041047,50411986,56453033,Ene-Mar 2021
2021,2,6046091,50829471,56875562,Abr-Jun 2021
2021,3,6104479,51708030,57812509,Jul-Sept 2021
2021,4,6186994,52878833,59065827,Oct-Dic 2021
2022,1,6185039,53217542,59402581,Ene-Mar 2022
2022,2,6215483,53286808,59502291,Abr-Jun 2022
2022,3,6249094,53464409,59713503,Jul-Sept 2022
