Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2022,3,Buenos Aires,4715469,6199,4721668
2022,3,Capital Federal,1545534,2145,1547679
2022,3,Catamarca,70292,10,70302
2022,3,Chaco,144141,50,144191
2022,3,Chubut,164874,9040,173914
2022,3,Córdoba,1038600,680,1039280
2022,3,Corrientes,144842,40,144882
2022,3,Entre Ríos,268937,220,269157
2022,3,Formosa,68537,10,68547
2022,3,Jujuy,118823,0,118823
2022,3,La Pampa,115921,1710,117631
2022,3,La Rioja,86860,40,86900
2022,3,Mendoza,288746,7770,296516
2022,3,Misiones,182157,0,182157
2022,3,Neuquén,162693,4680,167373
2022,3,Río Negro,160010,5480,165490
2022,3,Salta,204536,50,204586
2022,3,San Juan,103118,2810,105928
2022,3,San Luis,121888,1820,123708
2022,3,Santa Cruz,49312,1980,51292
2022,3,Santa Fe,887700,1100,888800
2022,3,Santiago Del Estero,119030,20,119050
2022,3,Tierra Del Fuego,53584,3120,56704
2022,3,Tucumán,263087,300,263387
2022,2,Buenos Aires,4660984,6199,4667183
2022,2,Capital Federal,1534626,2145,1536771
2022,2,Catamarca,67007,10,67017
2022,2,Chaco,143559,50,143609
2022,2,Chubut,161901,9040,170941
2022,2,Córdoba,1026367,680,1027047
2022,2,Corrientes,144993,40,145033
2022,2,Entre Ríos,269330,220,269550
2022,2,Formosa,67881,0,67881
2022,2,Jujuy,115314,0,115314
2022,2,La Pampa,111356,1710,113066
2022,2,La Rioja,86026,40,86066
2022,2,Mendoza,278785,7770,286555
2022,2,Misiones,178813,0,178813
2022,2,Neuquén,161500,4680,166180
2022,2,Río Negro,159216,5480,164696
2022,2,Salta,203172,50,203222
2022,2,San Juan,100126,2810,102936
2022,2,San Luis,121559,1820,123379
2022,2,Santa Cruz,48987,1980,50967
2022,2,Santa Fe,878749,1100,879849
2022,2,Santiago Del Estero,118042,20,118062
2022,2,Tierra Del Fuego,53458,3120,56578
2022,2,Tucumán,254497,300,254797
2022,1,Buenos Aires,4549131,6293,4555424
2022,1,Capital Federal,1415378,2163,1417541
2022,1,Catamarca,62377,10,62387
2022,1,Chaco,144114,50,144164
2022,1,Chubut,170701,9270,179971
2022,1,Córdoba,1003729,740,1004469
2022,1,Corrientes,142574,40,142614
2022,1,Entre Ríos,267904,220,268124
2022,1,Formosa,54548,0,54548
2022,1,Jujuy,116509,0,116509
2022,1,La Pampa,109560,1720,111280
2022,1,La Rioja,84299,40,84339
2022,1,Mendoza,274399,7860,282259
2022,1,Misiones,171508,0,171508
2022,1,Neuquén,149208,4710,153918
2022,1,Río Negro,156821,5530,162351
2022,1,Salta,197510,50,197560
2022,1,San Juan,87888,2900,90788
2022,1,San Luis,119659,1850,121509
2022,1,Santa Cruz,48898,2040,50938
2022,1,Santa Fe,870364,1150,871514
2022,1,Santiago Del Estero,116459,20,116479
2022,1,Tierra Del Fuego,52298,3130,55428
2022,1,Tucumán,245554,300,245854
2021,4,Buenos Aires,4502772,6385,4509157
2021,4,Capital Federal,1409935,2184,1412119
2021,4,Catamarca,59089,10,59099
2021,4,Chaco,143740,50,143790
2021,4,Chubut,159364,9440,168804
2021,4,Córdoba,986693,770,987463
2021,4,Corrientes,135908,40,135948
2021,4,Entre Ríos,265024,220,265244
2021,4,Formosa,53663,0,53663
2021,4,Jujuy,113915,0,113915
2021,4,La Pampa,106834,1730,108564
2021,4,La Rioja,83124,40,83164
2021,4,Mendoza,266783,8040,274823
2021,4,Misiones,171132,0,171132
2021,4,Neuquén,146989,4770,151759
2021,4,Río Negro,153189,5640,158829
2021,4,Salta,199399,60,199459
2021,4,San Juan,79667,2910,82577
2021,4,San Luis,118662,1870,120532
2021,4,Santa Cruz,48276,2100,50376
2021,4,Santa Fe,866265,1760,868025
2021,4,Santiago Del Estero,115859,20,115879
2021,4,Tierra Del Fuego,52042,3150,55192
2021,4,Tucumán,238609,300,238909
2021,3,Buenos Aires,4246425,5184,4251609
2021,3,Capital Federal,1411797,1608,1413405
2021,3,Catamarca,56253,10,56263
2021,3,Chaco,139868,30,139898
2021,3,Chubut,155266,8000,163266
2021,3,Córdoba,946726,620,947346
2021,3,Corrientes,133816,30,133846
2021,3,Entre Ríos,260360,150,260510
2021,3,Formosa,52795,0,52795
2021,3,Jujuy,111158,0,111158
2021,3,La Pampa,100371,1160,101531
2021,3,La Rioja,82157,30,82187
2021,3,Mendoza,255320,6190,261510
2021,3,Misiones,158528,0,158528
2021,3,Neuquén,139436,3730,143166
2021,3,Río Negro,144084,5010,149094
2021,3,Salta,195831,20,195851
2021,3,San Juan,79227,2560,81787
2021,3,San Luis,117716,1480,119196
2021,3,Santa Cruz,48779,1970,50749
2021,3,Santa Fe,841433,1510,842943
2021,3,Santiago Del Estero,115457,10,115467
2021,3,Tierra Del Fuego,49934,2890,52824
2021,3,Tucumán,232447,250,232697
2021,2,Buenos Aires,4127167,5184,4132351
2021,2,Capital Federal,1398747,1608,1400355
2021,2,Catamarca,55743,10,55753
2021,2,Chaco,140726,30,140756
2021,2,Chubut,138412,8250,146662
2021,2,Córdoba,930818,620,931438
2021,2,Corrientes,129498,30,129528
2021,2,Entre Ríos,257617,150,257767
2021,2,Formosa,51551,0,51551
2021,2,Jujuy,111848,0,111848
2021,2,La Pampa,97551,1160,98711
2021,2,La Rioja,81599,30,81629
2021,2,Mendoza,229052,6190,235242
2021,2,Misiones,156176,0,156176
2021,2,Neuquén,137877,3730,141607
2021,2,Río Negro,143583,5010,148593
2021,2,Salta,191637,20,191657
2021,2,San Juan,78677,2560,81237
2021,2,San Luis,122670,1480,124150
2021,2,Santa Cruz,48785,1970,50755
2021,2,Santa Fe,840449,1510,841959
2021,2,Santiago Del Estero,114089,10,114099
2021,2,Tierra Del Fuego,35404,2890,38294
2021,2,Tucumán,233026,250,233276
2021,1,Buenos Aires,4054936,5066,4060002
2021,1,Capital Federal,1378283,139,1378422
2021,1,Catamarca,51967,10,51977
2021,1,Chaco,139767,30,139797
2021,1,Chubut,131515,8250,139765
2021,1,Córdoba,910826,550,911376
2021,1,Corrientes,126622,30,126652
2021,1,Entre Ríos,251950,130,252080
2021,1,Formosa,50686,0,50686
2021,1,Jujuy,110456,0,110456
2021,1,La Pampa,96989,1160,98149
2021,1,La Rioja,52625,30,52655
2021,1,Mendoza,218308,6150,224458
2021,1,Misiones,149387,0,149387
2021,1,Neuquén,132862,3730,136592
2021,1,Río Negro,140667,5010,145677
2021,1,Salta,187572,20,187592
2021,1,San Juan,78011,2560,80571
2021,1,San Luis,119006,1480,120486
2021,1,Santa Cruz,45868,1970,47838
2021,1,Santa Fe,825990,1370,827360
2021,1,Santiago Del Estero,111640,10,111650
2021,1,Tierra Del Fuego,40133,2890,43023
2021,1,Tucumán,231890,220,232110
2020,4,Buenos Aires,4028195,5066,4033261
2020,4,Capital Federal,1378140,139,1378279
2020,4,Catamarca,52395,10,52405
2020,4,Chaco,139088,30,139118
2020,4,Chubut,129749,8250,137999
2020,4,Córdoba,902646,550,903196
2020,4,Corrientes,125656,30,125686
2020,4,Entre Ríos,247368,130,247498
2020,4,Formosa,50206,0,50206
2020,4,Jujuy,105851,0,105851
2020,4,La Pampa,96779,1160,97939
2020,4,La Rioja,52775,30,52805
2020,4,Mendoza,214838,6150,220988
2020,4,Misiones,147161,0,147161
2020,4,Neuquén,132762,3730,136492
2020,4,Río Negro,140709,5010,145719
2020,4,Salta,187388,20,187408
2020,4,San Juan,72340,2560,74900
2020,4,San Luis,119287,1480,120767
2020,4,Santa Cruz,40477,1970,42447
2020,4,Santa Fe,820676,1370,822046
2020,4,Santiago Del Estero,106668,10,106678
2020,4,Tierra Del Fuego,39325,2890,42215
2020,4,Tucumán,231067,220,231287
2020,3,Buenos Aires,3932211,5066,3937277
2020,3,Capital Federal,1371285,139,1371424
2020,3,Catamarca,49903,10,49913
2020,3,Chaco,133951,30,133981
2020,3,Chubut,129202,8250,137452
2020,3,Córdoba,867417,550,867967
2020,3,Corrientes,123388,30,123418
2020,3,Entre Ríos,241482,130,241612
2020,3,Formosa,49209,0,49209
2020,3,Jujuy,106728,0,106728
2020,3,La Pampa,93619,1160,94779
2020,3,La Rioja,52613,30,52643
2020,3,Mendoza,207173,6150,213323
2020,3,Misiones,143186,0,143186
2020,3,Neuquén,128862,3730,132592
2020,3,Río Negro,130966,5010,135976
2020,3,Salta,180844,20,180864
2020,3,San Juan,77071,2560,79631
2020,3,San Luis,116417,1480,117897
2020,3,Santa Cruz,39084,1970,41054
2020,3,Santa Fe,802861,1370,804231
2020,3,Santiago Del Estero,105491,10,105501
2020,3,Tierra Del Fuego,39366,2890,42256
2020,3,Tucumán,223854,220,224074
2020,2,Buenos Aires,3772480,5066,3777546
2020,2,Capital Federal,1356431,139,1356570
2020,2,Catamarca,47975,10,47985
2020,2,Chaco,128129,30,128159
2020,2,Chubut,107831,8250,116081
2020,2,Córdoba,836413,550,836963
2020,2,Corrientes,118863,30,118893
2020,2,Entre Ríos,234100,130,234230
2020,2,Formosa,47932,0,47932
2020,2,Jujuy,94316,0,94316
2020,2,La Pampa,89693,1160,90853
2020,2,La Rioja,52152,30,52182
2020,2,Mendoza,200569,6150,206719
2020,2,Misiones,140340,0,140340
2020,2,Neuquén,125799,3730,129529
2020,2,Río Negro,128985,5010,133995
2020,2,Salta,177760,20,177780
2020,2,San Juan,69521,2560,72081
2020,2,San Luis,113804,1480,115284
2020,2,Santa Cruz,38672,1970,40642
2020,2,Santa Fe,777795,1370,779165
2020,2,Santiago Del Estero,105446,10,105456
2020,2,Tierra Del Fuego,38900,2890,41790
2020,2,Tucumán,217134,220,217354
2020,1,Buenos Aires,3702985,5066,3708051
2020,1,Capital Federal,1352104,139,1352243
2020,1,Catamarca,39634,10,39644
2020,1,Chaco,120274,30,120304
2020,1,Chubut,95938,8000,103938
2020,1,Córdoba,811044,550,811594
2020,1,Corrientes,113967,30,113997
2020,1,Entre Ríos,231833,130,231963
2020,1,Formosa,46434,0,46434
2020,1,Jujuy,91665,0,91665
2020,1,La Pampa,89110,1160,90270
2020,1,La Rioja,48337,30,48367
2020,1,Mendoza,182837,6150,188987
2020,1,Misiones,133552,0,133552
2020,1,Neuquén,121354,3730,125084
2020,1,Río Negro,125699,5010,130709
2020,1,Salta,170379,20,170399
2020,1,San Juan,63975,2560,66535
2020,1,San Luis,110404,1480,111884
2020,1,Santa Cruz,38625,1970,40595
2020,1,Santa Fe,770981,1370,772351
2020,1,Santiago Del Estero,102754,10,102764
2020,1,Tierra Del Fuego,38505,2890,41395
2020,1,Tucumán,200045,220,200265
2019,4,Buenos Aires,3681120,5134,3686254
2019,4,Capital Federal,1356695,141,1356836
2019,4,Catamarca,38310,10,38320
2019,4,Chaco,117900,30,117930
2019,4,Chubut,95292,8100,103392
2019,4,Córdoba,806633,550,807183
2019,4,Corrientes,113831,30,113861
2019,4,Entre Ríos,239017,130,239147
2019,4,Formosa,46711,0,46711
2019,4,Jujuy,88881,0,88881
2019,4,La Pampa,90280,1190,91470
2019,4,La Rioja,48999,30,49029
2019,4,Mendoza,185157,6230,191387
2019,4,Misiones,135813,0,135813
2019,4,Neuquén,116069,3760,119829
2019,4,Río Negro,126636,5040,131676
2019,4,Salta,172443,20,172463
2019,4,San Juan,64715,2590,67305
2019,4,San Luis,108053,1480,109533
2019,4,Santa Cruz,39170,2000,41170
2019,4,Santa Fe,769019,1500,770519
2019,4,Santiago Del Estero,103587,10,103597
2019,4,Tierra Del Fuego,40101,2910,43011
2019,4,Tucumán,198621,230,198851
2019,3,Buenos Aires,3950114,10119,3960233
2019,3,Capital Federal,1437734,3477,1441211
2019,3,Catamarca,32391,90,32481
2019,3,Chaco,114438,130,114568
2019,3,Chubut,87481,1524,89005
2019,3,Córdoba,782946,1070,784016
2019,3,Corrientes,112749,100,112849
2019,3,Entre Ríos,238057,450,238507
2019,3,Formosa,46066,0,46066
2019,3,Jujuy,86575,10,86585
2019,3,La Pampa,90559,2690,93249
2019,3,La Rioja,49659,180,49839
2019,3,Mendoza,223015,1322,224337
2019,3,Misiones,133883,0,133883
2019,3,Neuquén,123435,1986,125421
2019,3,Río Negro,143391,9040,152431
2019,3,Salta,151834,10,151844
2019,3,San Juan,72535,5630,78165
2019,3,San Luis,122409,2910,125319
2019,3,Santa Cruz,37642,3280,40922
2019,3,Santa Fe,760706,2280,762986
2019,3,Santiago Del Estero,133130,20,133150
2019,3,Tierra Del Fuego,48043,5440,53483
2019,3,Tucumán,164099,320,164419
2019,2,Buenos Aires,3845594,10104,3855698
2019,2,Capital Federal,1412177,3443,1415620
2019,2,Catamarca,33626,90,33716
2019,2,Chaco,108721,130,108851
2019,2,Chubut,86038,1518,87556
2019,2,Córdoba,775023,1050,776073
2019,2,Corrientes,111539,100,111639
2019,2,Entre Ríos,235780,440,236220
2019,2,Formosa,46438,0,46438
2019,2,Jujuy,86706,10,86716
2019,2,La Pampa,89937,2680,92617
2019,2,La Rioja,50283,180,50463
2019,2,Mendoza,222535,1322,223857
2019,2,Misiones,132878,0,132878
2019,2,Neuquén,120954,1999,122953
2019,2,Río Negro,137632,9150,146782
2019,2,Salta,142567,10,142577
2019,2,San Juan,69461,5640,75101
2019,2,San Luis,117094,2910,120004
2019,2,Santa Cruz,30225,3250,33475
2019,2,Santa Fe,743258,2260,745518
2019,2,Santiago Del Estero,126752,20,126772
2019,2,Tierra Del Fuego,46910,5440,52350
2019,2,Tucumán,166299,320,166619
2019,1,Buenos Aires,3736563,10104,3746667
2019,1,Capital Federal,1396157,3443,1399600
2019,1,Catamarca,33613,90,33703
2019,1,Chaco,103664,130,103794
2019,1,Chubut,78260,1518,79778
2019,1,Córdoba,744010,1050,745060
2019,1,Corrientes,102477,100,102577
2019,1,Entre Ríos,232403,440,232843
2019,1,Formosa,45211,0,45211
2019,1,Jujuy,90146,10,90156
2019,1,La Pampa,88892,2680,91572
2019,1,La Rioja,51638,180,51818
2019,1,Mendoza,204976,1322,206298
2019,1,Misiones,122720,0,122720
2019,1,Neuquén,112321,2056,114377
2019,1,Río Negro,120173,9150,129323
2019,1,Salta,136019,10,136029
2019,1,San Juan,61881,5640,67521
2019,1,San Luis,96044,2910,98954
2019,1,Santa Cruz,24580,3250,27830
2019,1,Santa Fe,736851,2270,739121
2019,1,Santiago Del Estero,89851,20,89871
2019,1,Tierra Del Fuego,45903,5440,51343
2019,1,Tucumán,171970,320,172290
2018,4,Buenos Aires,3626502,10104,3636606
2018,4,Capital Federal,1385577,3443,1389020
2018,4,Catamarca,33574,90,33664
2018,4,Chaco,103257,130,103387
2018,4,Chubut,77204,1518,78722
2018,4,Córdoba,737234,1050,738284
2018,4,Corrientes,100591,100,100691
2018,4,Entre Ríos,222003,440,222443
2018,4,Formosa,45204,0,45204
2018,4,Jujuy,90132,10,90142
2018,4,La Pampa,85368,2680,88048
2018,4,La Rioja,51633,180,51813
2018,4,Mendoza,204982,1322,206304
2018,4,Misiones,116273,0,116273
2018,4,Neuquén,112309,2056,114365
2018,4,Río Negro,115922,9150,125072
2018,4,Salta,134577,10,134587
2018,4,San Juan,61834,5640,67474
2018,4,San Luis,96040,2910,98950
2018,4,Santa Cruz,24443,3250,27693
2018,4,Santa Fe,720161,2290,722451
2018,4,Santiago Del Estero,89333,20,89353
2018,4,Tierra Del Fuego,45716,5440,51156
2018,4,Tucumán,171972,320,172292
2018,3,Buenos Aires,3599714,10563,3610277
2018,3,Capital Federal,1385804,6686,1392490
2018,3,Catamarca,34215,110,34325
2018,3,Chaco,102021,120,102141
2018,3,Chubut,101310,2426,103736
2018,3,Córdoba,725764,940,726704
2018,3,Corrientes,99445,110,99555
2018,3,Entre Ríos,204560,480,205040
2018,3,Formosa,44865,0,44865
2018,3,Jujuy,44934,10,44944
2018,3,La Pampa,83180,2440,85620
2018,3,La Rioja,51855,170,52025
2018,3,Mendoza,205545,1484,207029
2018,3,Misiones,108042,0,108042
2018,3,Neuquén,114713,2005,116718
2018,3,Río Negro,112433,1059,113492
2018,3,Salta,132882,10,132892
2018,3,San Juan,63823,6580,70403
2018,3,San Luis,74121,3000,77121
2018,3,Santa Cruz,33565,4340,37905
2018,3,Santa Fe,694883,2170,697053
2018,3,Santiago Del Estero,86358,20,86378
2018,3,Tierra Del Fuego,45056,5080,50136
2018,3,Tucumán,171135,310,171445
2018,2,Buenos Aires,3490134,10565,3500699
2018,2,Capital Federal,1362498,6688,1369186
2018,2,Catamarca,34078,110,34188
2018,2,Chaco,98509,120,98629
2018,2,Chubut,98137,2427,100564
2018,2,Córdoba,712979,940,713919
2018,2,Corrientes,97946,110,98056
2018,2,Entre Ríos,199937,480,200417
2018,2,Formosa,44554,0,44554
